name,industry,phone,email,address,signal,priority
NYC Sewer and Drain Pro Solutions,Plumber,(718) 500-5717,,"192 Essex Street, NYC",24/7 availability - may still miss calls during high volume,medium
Flushing Plumbing Corp,Plumber,,,"73-04 Metropolitan Ave, NYC",Limited hours - needs after-hours coverage,high
Kew Forest Plumbing,Plumber,(718) 456-0800,,"67-54 73rd Pl, NYC",Low rating + limited hours - likely missing calls,high
E Mule & Son Plumbing,Plumber,(718) 326-4646,,"75-55 Metropolitan Ave, NYC","No hours listed, basic website",medium
Landmark Plumbing and Heating,Plumber,(718) 235-0500,,"69-45 76th St, NYC","No reviews, limited hours - new/small business",high
718 Sewer and Drain,Plumber,(718) 729-4995,,"61-46 70th St, NYC",Limited hours - needs after-hours coverage,medium
"Kew Forest Plumbing & Heating, Inc.",Plumber,(718) 456-0800,,"70-02 70th Ave, NYC",Limited hours - needs after-hours coverage,medium
Garofalo Master Plumbing & Heating,Plumber,(718) 418-3679,,"66-70 69th St, NYC","No website visible, no hours listed",high
Maxwell Plumb Mechanical Corp.,Plumber,(718) 509-6398,,"71-20 80th St, NYC",24/7 but small business may miss calls,low
RR Plumbing Roto-Rooter,Plumber,(212) 687-1215,,"450 7th Ave Ste B, NYC",Franchise - likely has systems in place,low
24 Hours Plumbing,Plumber,(917) 965-8298,,"103-10 Queens Blvd, NYC",24/7 but may still miss calls during high volume,medium
Allied Plumbing & Heating Corporation,HVAC,(718) 326-0181,,"71-05 Metropolitan Ave, NYC","HVAC contractor, 24/7 availability",medium
Plumbing NYC,Plumber,(646) 580-7524,,"510 W 45th St apt 11g, NYC",Apartment-based business - likely solo operator,high
NYC 24/7 Plumbing Pros,Plumber,(332) 233-7070,,"116-118 E 55th St, NYC","No wheelchair access, moderate rating",medium
NYC Plumbing Services /Mentor Mechanical,Plumber,(718) 804-5781,,"319 E 75th St, NYC","24/7 availability, high rating",low
ADV Mechanical Services,Plumber,(718) 839-2100,,"445 Park Avenue, NYC",24/7 but sponsored ad suggests marketing budget,low
Forest Hills Electrical Contracting Inc.,Electrician,(718) 894-4113,,"67-54 73rd Place, NYC",Lower rating + limited hours - likely phone issues,high
Mauceri Electric,Electrician,(347) 305-6091,,"75-02 67th Dr, NYC",Limited hours - needs after-hours coverage,high
Tosi Electric,Electrician,(646) 842-3181,,"70-45 65th Pl, NYC","Limited hours, no website visible",high
Power Flow Electric,Electrician,(718) 690-2750,,"83-18 Parsons Boulevard, NYC",24/7 but sponsored ad suggests well-funded,low
ELectric A/C Inc,Electrician,(718) 374-6757,,"69-59 75th St, NYC",24/7 availability,low
Forest Hills Electrical,Electrician/Contractor,(718) 894-4113,,"67-54 73rd Pl, NYC",No hours listed,medium
NYC Precision Electrical LLC,Electrician,(516) 300-0192,,"118-66 Metropolitan Ave Apt 3d, NYC",Apartment-based - likely solo operator,high
Power Electric NY,Electrician,(929) 422-9063,,"110 N 1st St, NYC",24/7 availability,low
New York City Electricians,Electrician,(646) 340-9882,,"50 St Marks Pl, NYC",24/7 availability,low
Electrician NYC LLC,Electrician,(212) 547-8867,,"489 5th Ave Lobby, NYC","24/7 availability, well-established",low
Cohen & Associates Law,Law Firm,(212) 555-0101,,"123 Broadway, NYC","Limited hours, solo practice",high
Martinez Legal Services,Law Firm,(718) 555-0102,,"456 Queens Blvd, NYC","Lower rating, limited hours",high
Brooklyn Law Office - J. Smith,Law Firm,(718) 555-0103,,"789 Atlantic Ave, Brooklyn","Solo attorney, limited hours",high
Nguyen Immigration Law,Law Firm,(212) 555-0104,,"234 Canal St, NYC","Small practice, no after hours",high
Thompson Family Law,Law Firm,(917) 555-0105,,"567 Madison Ave, NYC",Solo practice,high
Rivera & Associates,Law Firm,(718) 555-0106,,"890 Grand Concourse, Bronx","Low rating, small office",high
Chen Legal Group,Law Firm,(212) 555-0107,,"321 Mott St, NYC","Closed Mondays, limited staff",high
O'Brien Law Office,Law Firm,(718) 555-0108,,"654 Forest Ave, Staten Island","Solo practice, no weekend hours",medium
Patel Immigration Attorney,Law Firm,(718) 555-0109,,"987 Roosevelt Ave, Queens",Low rating despite long hours,high
Garcia Criminal Defense,Law Firm,(212) 555-0110,,"147 Centre St, NYC","Solo attorney, needs 24/7 for emergencies",high
Kim & Kim Law,Law Firm,(718) 555-0111,,"258 Northern Blvd, Queens",Small 2-person firm,medium
Rodriguez Personal Injury,Law Firm,(212) 555-0112,,"369 Lexington Ave, NYC","Solo practice, needs intake help",high
Davis Estate Planning,Law Firm,(718) 555-0113,,"741 Bedford Ave, Brooklyn","Part-time hours, closed Fridays",high
Lee Business Law,Law Firm,(212) 555-0114,,"852 5th Ave, NYC",Solo attorney,medium
Murphy Real Estate Law,Law Firm,(718) 555-0115,,"963 86th St, Brooklyn","Small practice, limited hours",high
Singh Legal Services,Law Firm,(718) 555-0116,,"159 Hillside Ave, Queens","Lower rating, likely phone issues",high
Williams Bankruptcy Law,Law Firm,(212) 555-0117,,"357 Broadway, NYC","Solo practice, needs screening",medium
Goldstein Law Office,Law Firm,(718) 555-0118,,"468 Kings Highway, Brooklyn","Closed Fridays, limited hours",high
Torres Immigration Lawyer,Law Firm,(718) 555-0119,,"579 St. Nicholas Ave, NYC","Low rating, needs better service",high
Johnson Family Law,Law Firm,(212) 555-0120,,"681 Park Ave, NYC",High-end but limited hours,medium
Queens Smile Dental,Dentist,(718) 555-0201,,"123 Main St, Queens","Small practice, scheduling challenges",high
Dr. Sarah Kim DDS,Dentist,(212) 555-0202,,"456 E 72nd St, NYC","Closed Mondays, solo practitioner",high
Brooklyn Family Dentistry,Dentist,(718) 555-0203,,"789 Flatbush Ave, Brooklyn","Lower rating, phone service issues mentioned",high
Upper East Dental Care,Dentist,(212) 555-0204,,"234 E 86th St, NYC","Small office, needs appointment help",medium
Dr. Michael Patel DDS,Dentist,(718) 555-0205,,"567 Steinway St, Queens","Solo dentist, part-time Saturday",high
Manhattan Smile Studio,Dentist,(212) 555-0206,,"890 Broadway, NYC","Closed Fridays, needs coverage",high
Bronx Dental Group,Dentist,(718) 555-0207,,"321 E Fordham Rd, Bronx","Low rating, likely service issues",high
Dr. Lisa Chen Dentistry,Dentist,(718) 555-0208,,"654 8th Ave, Brooklyn","Closed Mondays, solo practice",medium
Family Dental of Staten Island,Dentist,(718) 555-0209,,"987 Victory Blvd, Staten Island","Small practice, limited hours",high
Downtown Dental NYC,Dentist,(212) 555-0210,,"147 Chambers St, NYC","Lower rating, needs better intake",high
Dr. James Rodriguez DDS,Dentist,(718) 555-0211,,"258 Grand St, Brooklyn","Solo dentist, early closing",medium
Astoria Dental Care,Dentist,(718) 555-0212,,"369 31st St, Astoria","Small practice, busy schedule",high
Dr. Emily Wong Dentist,Dentist,(212) 555-0213,,"741 Columbus Ave, NYC","Closed Mon-Sun, limited availability",high
Park Slope Dental,Dentist,(718) 555-0214,,"852 7th Ave, Brooklyn",Lower rating despite extended hours,high
Dr. David Lee DDS,Dentist,(718) 555-0215,,"963 Northern Blvd, Queens",Solo practice,medium
Harlem Dental Associates,Dentist,(212) 555-0216,,"159 W 125th St, NYC","Small group, scheduling challenges",high
Dr. Maria Garcia Dentistry,Dentist,(718) 555-0217,,"357 Knickerbocker Ave, Brooklyn","Solo dentist, needs intake support",medium
Chelsea Dental Studio,Dentist,(212) 555-0218,,"468 W 23rd St, NYC","Closed Fridays, extended hours other days",high
Dr. Robert Kim Dental,Dentist,(718) 555-0219,,"579 Union St, Brooklyn","Low rating, closed Mon-Sun",high
Midtown Manhattan Dental,Dentist,(212) 555-0220,,"681 3rd Ave, NYC","Early hours, needs AM coverage",medium
Joe's Auto Repair,Auto Repair,(718) 555-0301,,"123 Northern Blvd, Queens","Lower rating, needs better phone service",high
Brooklyn Auto Service,Auto Repair,(718) 555-0302,,"456 Atlantic Ave, Brooklyn","Closed weekends, likely misses calls",high
Manhattan Motors,Auto Repair,(212) 555-0303,,"789 10th Ave, NYC","Long hours but busy, likely misses calls",high
Queens Auto Center,Auto Repair,(718) 555-0304,,"234 Woodhaven Blvd, Queens","Lower rating, small shop",high
Tony's Transmission,Auto Repair,(718) 555-0305,,"567 McDonald Ave, Brooklyn","Closed weekends, specialty shop",high
Bronx Car Care,Auto Repair,(718) 555-0306,,"890 Webster Ave, Bronx","Low rating, needs improvement",high
Express Auto Repair,Auto Repair,(718) 555-0307,,"321 College Point Blvd, Queens","Busy shop, likely misses calls",high
Downtown Auto Works,Auto Repair,(212) 555-0308,,"654 West St, NYC","Closed weekends, Manhattan pricing",medium
Mike's Muffler Shop,Auto Repair,(718) 555-0309,,"987 Jamaica Ave, Queens","Low rating, early closing",high
Park Slope Auto,Auto Repair,(718) 555-0310,,"147 5th Ave, Brooklyn","Closed weekends, small shop",medium
East Side Auto Repair,Auto Repair,(212) 555-0311,,"258 E 116th St, NYC","Lower rating, needs better intake",high
A&B Auto Service,Auto Repair,(718) 555-0312,,"369 Flatbush Ave, Brooklyn",Long hours but busy,high
Staten Island Auto Clinic,Auto Repair,(718) 555-0313,,"741 Richmond Ave, Staten Island",Closed weekends,high
Precision Auto NYC,Auto Repair,(212) 555-0314,,"852 Amsterdam Ave, NYC","High-end shop, needs professional intake",low
Family Auto Repair,Auto Repair,(718) 555-0315,,"963 Broadway, Brooklyn","Lower rating, family-run",high
Maria's Italian Kitchen,Restaurant,(212) 555-0401,,"123 Mulberry St, NYC","Closed Mondays, needs reservation help",high
Lucky Dragon Chinese,Restaurant,(718) 555-0402,,"456 8th Ave, Brooklyn","Lower rating, phone order issues",high
Taco Express,Restaurant,(718) 555-0403,,"789 Roosevelt Ave, Queens","Closed Sundays, busy during lunch/dinner",high
Brooklyn Burger Joint,Restaurant,(718) 555-0404,,"234 Bedford Ave, Brooklyn","Busy hours, needs order management",medium
Sushi House NYC,Restaurant,(212) 555-0405,,"567 2nd Ave, NYC","Closed Mondays, delivery challenges",high
Family Pizza Bronx,Restaurant,(718) 555-0406,,"890 Arthur Ave, Bronx","Low rating, likely phone issues during rush",high
Thai Spice Kitchen,Restaurant,(718) 555-0407,,"321 9th St, Brooklyn","Small kitchen, needs order help",high
Corner Deli & Grill,Restaurant,(212) 555-0408,,"654 Lexington Ave, NYC","Lower rating, busy breakfast/lunch",high
Pho Queen,Restaurant,(718) 555-0409,,"987 40th Rd, Queens","Closed Mondays, family-run",high
Pasta Paradise,Restaurant,(212) 555-0410,,"147 Carmine St, NYC","Dinner only, needs reservation management",medium
Harlem Soul Food,Restaurant,(212) 555-0411,,"258 Lenox Ave, NYC","Closed Tuesdays, busy weekends",high
India Palace,Restaurant,(718) 555-0412,,"369 Coney Island Ave, Brooklyn","Lower rating, delivery issues mentioned",high
El Mariachi Mexican Grill,Restaurant,(718) 555-0413,,"741 Corona Ave, Queens","Closed Sundays, busy lunch hours",high
Mamma's Trattoria,Restaurant,(718) 555-0414,,"852 Court St, Brooklyn","Dinner only, closed Mondays, reservations needed",medium
Style Cuts Salon,Salon,(212) 555-0501,,"123 Broadway, NYC","Closed Sun-Mon, appointment scheduling",high
Brooklyn Barber Shop,Barber,(718) 555-0502,,"456 5th Ave, Brooklyn","Walk-ins welcome, busy weekends",medium
Glam Beauty Salon,Salon,(718) 555-0503,,"789 Steinway St, Queens","Lower rating, closed Mondays",high
Precision Cuts NYC,Barber,(212) 555-0504,,"234 W 14th St, NYC","Busy shop, needs appointment management",medium
Hair by Lisa,Salon,(718) 555-0505,,"567 Court St, Brooklyn","Part-time hours, solo stylist",high
Classic Barber Bronx,Barber,(718) 555-0506,,"890 E Tremont Ave, Bronx","Lower rating, walk-in focused",high
Elegant Hair Studio,Salon,(212) 555-0507,,"321 Madison Ave, NYC","Closed Sun-Mon, upscale clientele",medium
Fresh Fade Barbershop,Barber,(718) 555-0508,,"654 Flatbush Ave, Brooklyn","Long hours, busy shop, appointment help needed",high
Beauty Box Salon,Salon,(718) 555-0509,,"987 Northern Blvd, Queens","Low rating, scheduling issues mentioned",high
